Date,Open,High,Low,Close,Adj Close,Volume,log_ret,variance,prediction,prediction_premium,premium_std,signal_daily,signal_lstm,final_signal
2020-06-30,2296.395264,2304.458984,2271.209473,2284.498291,2284.498291,15735797744.0,-0.005768117620406521,0.0024678494244068875,0.0006513113515377664,-0.7360814054956778,,0.0,,0.0
2020-07-01,2286.496338,2327.438721,2276.183838,2307.081299,2307.081299,15971550355.0,0.009836784773416873,0.002454949430811842,0.0008769088671877828,-0.6427996209690591,,0.0,,0.0
2020-07-02,2307.784912,2318.740723,2259.155762,2280.852539,2280.852539,16338916796.0,-0.011433925019912472,0.002455511270331219,0.000617778112320271,-0.7484116160310109,,0.0,,0.0
2020-07-03,2281.210693,2300.586182,2264.69873,2271.825928,2271.825928,13078970999.0,-0.003965411962941978,0.0024556508923817954,0.000702725536050249,-0.7138332902977678,,0.0,,0.0
2020-07-04,2271.05835,2295.823975,2263.407471,2283.12207,2283.12207,12290528515.0,0.0049599535112641036,0.002443841387907022,0.0007035481624920763,-0.7121138196719814,,0.0,,0.0
2020-07-05,2281.522705,2290.545898,2244.253906,2268.485596,2268.485596,12903406143.0,-0.006431364706292797,0.002430833411336024,0.0005419450213431418,-0.7770538207942105,,0.0,,0.0
2020-07-06,2268.212402,2343.868652,2264.666016,2343.868652,2343.868652,17889263252.0,0.032690363777000186,0.0024358687454792516,0.0006326731958418869,-0.7402679446435404,,0.0,,0.0
2020-07-07,2337.290283,2340.154297,2300.453857,2313.069336,2313.069336,13839652595.0,-0.01322747485481468,0.0024331937651998147,0.0009737388188440384,-0.5998104085376552,,0.0,,0.0
2020-07-08,2313.255127,2362.583984,2312.375,2357.083252,2357.083252,19702359883.0,0.018849585047488127,0.002428164358828793,0.000675552477298221,-0.7217846992762595,,0.0,,0.0
2020-07-09,2356.998535,2357.844727,2308.749756,2319.491943,2319.491943,18000702524.0,-0.01607677289101428,0.0024281929783537535,0.0006526139366553487,-0.7312347319701903,,0.0,,0.0
2020-07-10,2318.339355,2321.86792,2279.500488,2319.701904,2319.701904,16860035605.0,9.051615736144214e-05,0.002426314015466917,0.0009349351841048668,-0.6146685144029269,,0.0,,0.0
2020-07-11,2319.37793,2323.383057,2299.871338,2310.08667,2310.08667,13249910444.0,-0.004153644457159267,0.0024262013734809677,0.0005717808835731871,-0.7643308219083108,,0.0,,0.0
2020-07-12,2310.263672,2329.854736,2299.362549,2319.125,2319.125,14452361907.0,0.0039049160545205908,0.002390415774388612,0.0005756568622862732,-0.7591812819953856,,0.0,,0.0
2020-07-13,2319.30127,2326.601318,2306.073242,2310.903564,2310.903564,17519821266.0,-0.00355135806493756,0.002390458924257896,0.0006533940683031115,-0.7266658457618326,,0.0,,0.0
2020-07-14,2309.675781,2320.960449,2292.915283,2310.803467,2310.803467,18085038362.0,-4.3316029918472054e-05,0.002389924143284847,0.0004947812901244621,-0.7929719687904375,,0.0,,0.0
2020-07-15,2310.474365,2318.831299,2292.983398,2298.209229,2298.209229,15844731575.0,-0.005465061685257844,0.0023871472160799786,0.00047742359241029355,-0.8000024509614081,,0.0,,0.0
2020-07-16,2297.995117,2303.578125,2272.236816,2283.056885,2283.056885,15713967523.0,-0.006614939571377931,0.002387391079997023,0.0005631435362306815,-0.7641176006105445,,0.0,,0.0
2020-07-17,2282.953125,2295.563477,2272.300537,2287.848145,2287.848145,13944570749.0,0.0020964171092323625,0.0023833368532111448,0.000489700659790644,-0.7945314951468757,,0.0,,0.0
